team_a_name,team_b_name,team_a_wins,team_a_losses,team_b_wins,team_b_losses
team_1,team_2,1,2,2,1
team_1,team_3,1,2,2,1
team_10,team_11,3,0,0,3
team_10,team_12,3,0,0,3
team_10,team_13,2,1,1,2
team_10,team_14,1,2,2,1
team_10,team_15,0,3,3,0
team_10,team_2,2,1,1,2
team_10,team_3,0,3,3,0
team_11,team_12,2,1,1,2
team_11,team_13,1,2,2,1
team_11,team_14,0,3,3,0
team_11,team_15,0,3,3,0
team_11,team_2,2,1,1,2
team_11,team_3,1,2,2,1
team_12,team_13,1,2,2,1
team_12,team_14,0,3,3,0
team_12,team_15,0,3,3,0
team_12,team_2,2,1,1,2
team_12,team_3,2,1,1,2
team_13,team_14,0,3,3,0
team_13,team_15,1,2,2,1
team_13,team_2,2,1,1,2
team_13,team_3,0,3,3,0
team_14,team_15,1,1,1,1
team_14,team_2,1,2,2,1
team_14,team_3,2,1,1,2
team_15,team_2,3,0,0,3
team_15,team_3,1,2,2,1
team_2,team_3,2,1,1,2
iron_crown_specs,team_4,0,3,3,0
iron_crown_specs,team_5,0,3,3,0
iron_crown_specs,team_6,3,0,0,3
iron_crown_specs,team_7,0,3,3,0
iron_crown_specs,team_8,3,0,0,3
iron_crown_specs,team_9,1,2,2,1
iron_crown_specs,trick_room,2,1,1,2
iron_crown_specs,zzzzzzzzzu,3,0,0,3
jungle_planet,team_4,2,1,1,2
jungle_planet,team_5,1,2,2,1
jungle_planet,team_6,1,2,2,1
jungle_planet,team_7,0,3,3,0
jungle_planet,team_8,0,3,3,0
jungle_planet,team_9,2,1,1,2
jungle_planet,trick_room,3,0,0,3
jungle_planet,zzzzzzzzzu,3,0,0,3
lokix_voltturn,team_4,2,1,1,2
lokix_voltturn,team_5,1,2,2,1
lokix_voltturn,team_6,1,2,2,1
lokix_voltturn,team_7,1,2,2,1
lokix_voltturn,team_8,2,1,1,2
lokix_voltturn,team_9,2,1,1,2
lokix_voltturn,trick_room,3,0,0,3
lokix_voltturn,zzzzzzzzzu,3,0,0,3
manaphy,team_4,2,1,1,2
manaphy,team_5,1,2,2,1
manaphy,team_6,1,2,2,1
manaphy,team_7,3,0,0,3
